,順位年末,検索ワード年末,URL年末,タイトル年末,順位佐賀,検索ワード佐賀,URL佐賀,タイトル佐賀,順位宮崎,検索ワード宮崎,URL宮崎,タイトル宮崎
34,35,年末,https://www.tobu-dept.jp/ikebukuro/event/detail/4373&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECEMQAg&usg=AOvVaw19gPBH66xqUXpe_BReheq0,年末年始の営業時間のお知らせ｜イベントガイド｜東武百貨店,35.0,佐賀,https://www.lib.saga.saga.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECEEQAg&usg=AOvVaw3SPa2PPTGjcdif4qR4ElGI,佐賀市立図書館,35.0,宮崎,https://www.florante.or.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECEEQAg&usg=AOvVaw2M4IzmUoi9JwEfDWSG2FjH,フローランテ宮崎＜宮崎・ガーデン・花・緑・イルミネーション ...
35,36,年末,https://www.city.fukuoka.lg.jp/shicho/koho/shisetsu/top.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECEEQAg&usg=AOvVaw31DezrLhHpxhVvLDH6YvL8,福岡市 年末年始の各施設休館状況、区役所窓口案内,36.0,佐賀,https://mainichi.jp/saga/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECEAQAg&usg=AOvVaw3bWZEecNk4ORSfSwgXbfzI,佐賀 | 毎日新聞,36.0,宮崎,http://www.miyazaki-mu.ac.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECD8QAg&usg=AOvVaw3LQXOxcHfOMEhii08mFsfW,宮崎公立大学（MMU）
36,37,年末,https://www.city.suita.osaka.jp/home/soshiki/div-somu/koho/gyoumuannai.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECEIQAg&usg=AOvVaw3zjiKGUKutE06JcbzErLmk,年末年始の市役所業務案内 - 医療機関、ごみ収集 - 吹田市,37.0,佐賀,https://www.mhlw.go.jp/kouseiroudoushou/shozaiannai/roudoukyoku/saga/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECD8QAg&usg=AOvVaw1m4Bq2tT8-9nisAai1Cv0S,佐賀県 - 厚生労働省,37.0,宮崎,https://www.city.saito.lg.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECEAQAg&usg=AOvVaw1m1aZN5bZqzL_ItV33whHA,総合トップ | 宮崎県西都市
37,38,年末,https://www.77bank.co.jp/nenmatsunenshi/&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECEAQAg&usg=AOvVaw21kOsSvWraTqqfkzpQFLV1,年末年始における営業のご案内 | 七十七銀行,38.0,佐賀,https://www.police.pref.saga.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECD4QAg&usg=AOvVaw193oYJmld05i-IQNaou64v,ホーム ｜ 佐賀県警察本部,38.0,宮崎,https://www.city.nichinan.lg.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECD4QAg&usg=AOvVaw3i7b5ABiuekmCtuDEwPqLE,日南市ホームページ
38,39,年末,https://www.551horai.co.jp/topics/1007/&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECD8QAg&usg=AOvVaw1bZRN6XaygR8b2DI6Jr3lU,2021-22年 年末年始の営業時間 - 551蓬莱,39.0,佐賀,https://tenki.jp/forecast/9/44/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECD0QAg&usg=AOvVaw1lnYu2ZE4tOpMM4EOMH4SV,佐賀県の天気 - 日本気象協会 tenki.jp,39.0,宮崎,http://www.miyagin.co.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECDwQAg&usg=AOvVaw0Cy5PBgPOVChdkPm5SAa0w,宮崎銀行
39,40,年末,https://www.shimachu.co.jp/holiday/2021-2022.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECD4QAg&usg=AOvVaw0Uy58b6f7xjZtoyLDBtzSQ,2021〜2022 年末年始営業時間のご案内 - 島忠ホームズ,40.0,佐賀,https://tabelog.com/saga/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECDsQAg&usg=AOvVaw2OsjAkSZ6A2VtYf6lt6zSD,佐賀でおすすめのグルメ・レストランガイド | 食べログ,40.0,宮崎,https://www.miyazaki-ebooks.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECD0QAg&usg=AOvVaw1BvtnqHG-q1oX6uAgZR4mF,ミヤザキイーブックス miyazaki ebooks 宮崎県の電子書籍サイト
40,41,年末,https://tenki.jp/forecaster/kumiko_yamaguchi/2021/12/28/15470.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECD0QAg&usg=AOvVaw3u9KtLKproBXQu6lXnYRCf,九州 年末年始の天気 次の寒気の流れ込みは? - 日本気象協会,41.0,佐賀,https://www.saga-tamaya.co.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECDwQAg&usg=AOvVaw3_HpyHmy8mQGPm41sym0UR,佐賀玉屋 | 佐賀で長年に渡り愛される百貨店,41.0,宮崎,https://www.miyazaki-shinpan.co.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECDoQAg&usg=AOvVaw2qClmtNAMbcRg2vw8toN_-,株式会社宮崎信販
41,42,年末,https://www.city.kurayoshi.lg.jp/gyousei/div/sangyou/kankyou/r997-copy-2/&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECDwQAg&usg=AOvVaw3fRziv7MQ5711EpLtaU939,年末年始のごみ収集について(12月29日〜1月3日 - 倉吉市,42.0,佐賀,https://saga-museum.jp/sagajou/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECDoQAg&usg=AOvVaw0mez_weVfaOvw0MiP9qxl_,佐賀県立 佐賀城本丸歴史館 - 佐賀ミュージアムズ,42.0,宮崎,https://choice-miyazaki.com/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECDsQAg&usg=AOvVaw2p4CnqEM4rjHZo2L5SOg8h,CHOICE ! ーみやざきではたらく！ 宮崎を第一志望にー
42,43,年末,https://www.pc-koubou.jp/magazine/60484&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECA0QAg&usg=AOvVaw1T6zpJrAkmD4BNc0xj1gHj,パソコン工房 年末年始 おすすめ特集2022！,43.0,佐賀,https://saga.visit-town.com/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECDkQAg&usg=AOvVaw2jTncV8bvAdiF0KZnbGt1F,VISIT佐賀県,43.0,宮崎,https://www.tegevajaro.com/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECDkQAg&usg=AOvVaw0GHK1LHpSLg-G_htvPIoC8,テゲバジャーロ宮崎−オフィシャルサイト
43,44,年末,https://www.city.matsudo.chiba.jp/kurashi/gomi_shinyou/oshirase/nenmatusyusyu.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECDsQAg&usg=AOvVaw1bSyq8ZWXxiSK1NAoOytYr,年末年始のごみ収集・し尿のくみ取り・家庭ごみコールセンター ...,44.0,佐賀,https://www.saga-ebooks.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECDgQAg&usg=AOvVaw1NrzS8_n25ZkUcpDt4kG1E,佐賀イーブックス,44.0,宮崎,https://miyazaki.mypl.net/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECDgQAg&usg=AOvVaw2Wx-m30CIpc4_OaQGqjpHn,宮崎の地域情報サイト｜まいぷれ[宮崎]
44,45,年末,http://www.city.fukui.lg.jp/sisei/kohou/hp/2019-2020.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECDkQAg&usg=AOvVaw3fDVzE2x6U4sQaDAnWwtyo,年末年始のご案内 | 福井市ホームページ,45.0,佐賀,http://www.sagaelec.co.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECDcQAg&usg=AOvVaw0lmwxVk5hzIeVxgFiyQzf0,佐賀エレクトロニックス株式会社,45.0,宮崎,http://miyazaki-pref-yado.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECDcQAg&usg=AOvVaw3MLkWhV7iQ35VTkCzoCzlj,宮崎で人気の宿180選
45,46,年末,https://www.city.niiza.lg.jp/soshiki/15/nennmatsunennshi.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECDcQAg&usg=AOvVaw2c9UD-dQlCvRca4by3UxUK,年末・年始のごみ収集・環境センターへの直接搬入について - 新座市,46.0,佐賀,https://gotoeat-saga.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECDYQAg&usg=AOvVaw1btgkJblXJL0ftr6i1RrV0,Go To Eatキャンペーン SAGAおいし〜と食事券,46.0,宮崎,https://www.miyaben.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECDYQAg&usg=AOvVaw32WT9HT3hvjaTXRQ47pN6G,宮崎県弁護士会
46,47,年末,https://www.monster-strike.com/news/20211228_7.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECDgQAg&usg=AOvVaw1gylfMc_zkXqnlJRTSfNNt,【年末年始キャンペーン'21-'22】「モンスト年越し＆お正月 ...,47.0,佐賀,https://www.kys-newotani.co.jp/saga/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECDUQAg&usg=AOvVaw1j1wO-J8m54Ct10FD2kg4P,ホテルニューオータニ佐賀,47.0,宮崎,https://www.miyazakibunkahall.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECDUQAg&usg=AOvVaw3UGFRCuD28vzXWDPy72BVx,宮崎市民文化ホール
47,48,年末,https://www.jr-odekake.net/navi/nenmatsu_osusume/&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECDYQAg&usg=AOvVaw0f1XBI_JTzp540Ww9_tAeM,年末年始期間のおすすめ情報 - JRおでかけネット,48.0,佐賀,https://www.tosyo-saga.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECDMQAg&usg=AOvVaw22ijuEUETMx9yRYT-oupnM,佐賀県立図書館-県立トップページ,48.0,宮崎,http://www.miyazaki-group.com/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECDQQAg&usg=AOvVaw0tRwJWgQiW1bDMxNoikHFP,株式会社宮崎商店
48,49,年末,https://www.city.higashiosaka.lg.jp/0000031849.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECDUQAg&usg=AOvVaw2i4CrniQVaW9Xx-cesQnDp,年末年始の家庭ごみ・資源ごみなどの収集について | 東大阪市,49.0,佐賀,http://www.sagashin.co.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECDIQAg&usg=AOvVaw1yRP_UNfje1OrnRvH1q2d2,佐賀信用金庫,49.0,宮崎,https://rest.miyachiku.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECDMQAg&usg=AOvVaw29pfAr1eBVciur9ajC3AX6,宮崎牛・宮崎ブランドポークの専門店｜ミヤチクのレストラン
49,50,年末,https://www.city.tsukuba.lg.jp/kurashi/anshin/kyubyo/1008949.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECDQQAg&usg=AOvVaw0b-IHIVIg6uUjV1-t6H47f,年末年始・1月休日当番医 - つくば市,50.0,佐賀,http://www.asahi.com/area/saga/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECDQQAg&usg=AOvVaw2gHNkQrDe7O_3S824_0CVQ,地域 - 佐賀ニュース - 朝日新聞デジタル,50.0,宮崎,https://www.nitorimall.jp/miyazaki/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECDIQAg&usg=AOvVaw2pHZ9LRdDpMzrebzFru9RD,ニトリモール宮崎
50,51,年末,https://www.iyobank.co.jp/news/2021/202112-neneigyo.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECDMQAg&usg=AOvVaw39FlmrsOb472B2cjUd1ARq,年末年始の営業状況のお知らせ｜2021年｜伊予銀行,51.0,佐賀,https://www.sagajikan.com/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECDEQAg&usg=AOvVaw0SO8m0joewVbv3OqvEPnUI,佐賀県地域づくり公式サイトさがじかん,51.0,宮崎,https://www.kaiho.mlit.go.jp/10kanku/miyazaki/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECDEQAg&usg=AOvVaw0TApw-zS_3hENgJSLUCApS,宮崎海上保安部
51,52,年末,https://www.city.miki.lg.jp/soshiki/23/18365.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECDIQAg&usg=AOvVaw24PmGS45Mtxgnj00qWUMys,年末ごみ特別収集のお知らせ - 三木市ホームページ,52.0,佐賀,https://www.saga-jimin.com/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECDAQAg&usg=AOvVaw0M097g7iUo0V4M20R3B8NS,自由民主党｜佐賀県連,52.0,宮崎,https://cosmoland.miyabunkyo.com/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECC8QAg&usg=AOvVaw0RkFzndzUkM95R4KOzyUIo,宮崎科学技術館 - ホーム
52,53,年末,https://www.izumi.jp/nenmatsunenshi_opentime&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECDEQAg&usg=AOvVaw0MCY2MBdFqG6apNY8OrH_g,年末年始営業時間｜イズミ・ゆめタウン公式サイト,53.0,佐賀,http://www.sagayaku.or.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECC8QAg&usg=AOvVaw1MwbUPslleoeBiGbRznZfg,一般社団法人 佐賀県薬剤師会,53.0,宮崎,https://www.anahirmiyazaki.com/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECC4QAg&usg=AOvVaw2FQ8rhmfhMRm_i9wy3KvOl,ANA ホリデイ・イン リゾート 宮崎: ＜公式サイト＞宮崎県宮崎市 ...
53,54,年末,https://www.aeon.jp/sc/dainichi/info/detail/info_343729.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECDAQAg&usg=AOvVaw3PPOrVEwIHSbGfx_yKTYLA,[2021-2022] 年末年始 営業時間のご案内 - イオン,54.0,佐賀,https://shinpoo.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECC4QAg&usg=AOvVaw2Kq_PBowWs5Oho5RuThe3Q,公益財団法人 佐賀市文化振興財団,54.0,宮崎,https://tabelog.com/miyazaki/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECDAQAg&usg=AOvVaw2NkKY3529eUelx573Obb5G,宮崎でおすすめのグルメ・レストランガイド | 食べログ
54,55,年末,https://www.aeon-hokkaido.jp/time/&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECC8QAg&usg=AOvVaw1I-5FPXctS0HTsxP203Jow,年末年始営業時間変更のお知らせ | イオン北海道株式会社,55.0,佐賀,https://www.kokusen.go.jp/map/ncac_map41.html&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECC0QAg&usg=AOvVaw2N1WHBNAFWF71O1UP07MbM,佐賀県の消費生活センター,55.0,宮崎,https://www.miyazaki-city-zoo.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECC0QAg&usg=AOvVaw0yyypftCq2ncQafPIspxjD,宮崎市フェニックス自然動物園＜宮崎の動物園・遊園地・流れる ...
55,56,年末,https://www.city.kitakyushu.lg.jp/kankyou/00800170.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECC4QAg&usg=AOvVaw20iV9C_2plRdwFjFQHCJT6,令和3年度 年末年始のごみ・し尿収集について - 北九州市,56.0,佐賀,http://www.bus.saga.saga.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECCwQAg&usg=AOvVaw1osrviQF5oU-qF9RLzxezB,佐賀市営バス：佐賀市交通局,56.0,宮崎,https://www.town.miyazaki-misato.lg.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECCwQAg&usg=AOvVaw2Tn78XmWIxNCTYPCAOnVPH,宮崎県美郷町ホームページ
56,57,年末,https://www.aflac.co.jp/info/closing_ny.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECC0QAg&usg=AOvVaw0LucEJU93QnUsOi50tP46G,年末年始休業期間のお知らせ - アフラック,57.0,佐賀,https://aruko.saga.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECCsQAg&usg=AOvVaw13QUn_OmN2VcAoYuxiiyk9,歩こう。佐賀県。,57.0,宮崎,https://miyazaki.keizai.biz/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECCsQAg&usg=AOvVaw03LQQd9WY0pN01sEJ-UpP3,ひなた宮崎経済新聞 - 広域宮崎圏のビジネス＆カルチャーニュース
57,58,年末,https://taneya.jp/news/2021/12/nenmatsu.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECCsQAg&usg=AOvVaw39Yz_o4F9ZTbpWvS1Y3qsb,年末年始営業のご案内｜お知らせ - たねやグループ,58.0,佐賀,http://sagachuokai.saga-ja.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECCkQAg&usg=AOvVaw008WK-QKcwIaTV9bym-iZF,JA佐賀中央会,58.0,宮崎,https://nassy.hinata-miyazaki.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECCoQAg&usg=AOvVaw0LWyG26MIE4fmD6WHnVnPW,宮崎県×ナッシー「ナッシーリゾートin宮崎」
58,59,年末,https://gbp.minamimachida-grandberrypark.com/event/detail/%3Fcd%3D000514&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECCwQAg&usg=AOvVaw2Ameb65bpXBd6HT3OVOVTN,2021〜2022年 年末年始の営業時間について - グランベリーパーク,59.0,佐賀,https://www.izumi.jp/tenpo/saga&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECCoQAg&usg=AOvVaw3_O1vFJwluYfcSJoG5EezU,ゆめタウン佐賀｜イズミ・ゆめタウン公式サイト｜佐賀県佐賀市,59.0,宮崎,https://www.mapion.co.jp/map/admi45.html&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECCkQAg&usg=AOvVaw2YOFAzGpldMHq46PVYlm8r,宮崎県 都道府県から地図を検索 - マピオン
59,60,年末,https://www.city.inzai.lg.jp/0000011827.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECCoQAg&usg=AOvVaw3vRGFobg2O-6TeKjP9-91f,年末年始のごみ収集のお知らせ | 印西市ホームページ,60.0,佐賀,https://rengo-saga.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECCgQAg&usg=AOvVaw0RerAiOiAwAfhxRL1QxT6h,連合佐賀,60.0,宮崎,http://www.mcc-9.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECCgQAg&usg=AOvVaw2Bh4U_TDEGU_sn2XjP_TKy,セントラルシネマ宮崎 - トップ
60,61,年末,http://www.miyagin.co.jp/attention/atm/index.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECCkQAg&usg=AOvVaw2XT0GzmWiFJh5niJ_jp6_R,年末年始「ATM・店舗営業」のご案内 - 宮崎銀行,61.0,佐賀,https://www.sinko-saga.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECCcQAg&usg=AOvVaw3jXtiGNsSMeDBidU8-Wfm7,公益財団法人 佐賀県市町村振興協会,61.0,宮崎,https://www.siminplaza.com/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECCcQAg&usg=AOvVaw2wUGTaOidOpj1SBxNS3QkQ,（公財）宮崎文化振興協会 宮崎市民プラザ 公式サイト
61,62,年末,https://www.michinokubank.co.jp/pickup/newyear.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECCgQAg&usg=AOvVaw0pyWZ52YM6ZMxP_aWzTN4h,年末年始の営業について - みちのく銀行,62.0,佐賀,https://www2.sagawa-exp.co.jp/send/branch_search/tanto/town/%3Fa_id%3D3490%26s_id%3D0-9&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECCYQAg&usg=AOvVaw081HUefoUKtJsh-PJjpn2U,担当営業所検索 - 佐川急便,62.0,宮崎,https://www.m-tokusan.or.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECCUQAg&usg=AOvVaw0PaQlFNAfFULTMlhY1mR8Y,公益社団法人 宮崎県物産貿易振興センター（みやざき物産館KONNE）
62,63,年末,https://mitsui-shopping-park.com/lalaport/tachikawa/info/2047512.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECCYQAg&usg=AOvVaw2OfpDfC5yDhWicJ_7xCrBz,年末年始営業時間に関するお知らせ | ららぽーと立川立飛 - 三井 ...,63.0,佐賀,https://www.saga-ppc.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECCQQAg&usg=AOvVaw2jbT11bbiGOuyKuYjNjD5U,公益財団法人佐賀県産業振興機構 さが県産品流通デザイン公社,63.0,宮崎,http://www.miya-shoko.or.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECCYQAg&usg=AOvVaw0LX7uRLp9ZGMTJx17mDUHw,宮崎県商工会連合会
63,64,年末,https://www.sogo-seibu.jp/ikebukuro/topics/page/1575771.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECCcQAg&usg=AOvVaw1buRrPFPawVxd99xjDMIq0,年末年始営業時間のご案内 |西武池袋本店 - 西武・そごう,64.0,佐賀,https://infosaga.or.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECCMQAg&usg=AOvVaw0DwNEqUBXl043CCWK-eo5S,佐賀県産業イノベーションセンター,64.0,宮崎,https://www.mhlw.go.jp/kouseiroudoushou/shozaiannai/roudoukyoku/miyazaki/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECCQQAg&usg=AOvVaw1X01X7kHsXU3U0qYRgz-sa,宮崎県 - 厚生労働省
64,65,年末,https://www.city.funabashi.lg.jp/kurashi/gomi/001/p040253.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECCUQAg&usg=AOvVaw2TfjkeMKwg1mVQ37yr1ABm,年末年始のごみ収集 - 船橋市,65.0,佐賀,https://www.fnn.jp/articles/-/292570&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECCUQAg&usg=AOvVaw1Yol3knyrCDK0ig0kcdYL4,【速報】JR佐賀駅前の焼き肉店で火事 消火活動続く けが人の情報なし,65.0,宮崎,http://www.miyayaku.or.jp/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECCIQAg&usg=AOvVaw2wh644MLqAKR6FVYHiENrN,一般社団法人 宮崎県薬剤師会 - トップ
65,66,年末,https://www.iwatebank.co.jp/branch/new_year_holiday_atm.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECCQQAg&usg=AOvVaw0JkmOy2NjhcKxgudk-7_4e,年末年始のATMの営業について - 岩手銀行,66.0,佐賀,https://www.saga-sc.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECCIQAg&usg=AOvVaw09iVQf67D2SdrFhXeZ8CAa,佐賀県スポーツコミッション,66.0,宮崎,https://www.amu-miyazaki.com/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECCMQAg&usg=AOvVaw1TUvRyASMVQ3B3MRbWwpmr,アミュプラザみやざき 公式サイト｜2020年11月20日(金) GRAND ...
66,67,年末,https://faq.uniqlo.com/articles/FAQ/100007525&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECCIQAg&usg=AOvVaw2t9r8tSxtW1Amsf6dxMHkF,［年末年始］ユニクロ店舗の営業について,67.0,佐賀,http://www.satokyo.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECCEQAg&usg=AOvVaw268dyEDqzh0c04PikXD_Nj,公益社団法人佐賀県トラック協会,67.0,宮崎,https://www.sumitomokenki.co.jp/company/network/domestic/miyazaki/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECCEQAg&usg=AOvVaw1slD8qDgdf9M1wYXOb48TO,宮崎支店 | 住友建機株式会社
67,68,年末,https://www.city.kakogawa.lg.jp/soshikikarasagasu/kankyobu/kankyodaiichika/gominodashikata_shushu/1482903088015.html&sa=U&ved=2ahUKEwiXzon74Iv1AhXTc94KHSm_BcsQFnoECCMQAg&usg=AOvVaw0axPKf62NMw5IUqqrZxxFt,年末・年始のごみ収集日程 - 加古川市,68.0,佐賀,https://www.town.miyaki.lg.jp/&sa=U&ved=2ahUKEwiDupH-4Iv1AhWHHHAKHTpbDmoQFnoECCAQAg&usg=AOvVaw2K6jHlRD5caQme5asvJijL,みやき町 ホーム,68.0,宮崎,https://mainichi.jp/miyazaki/&sa=U&ved=2ahUKEwjH07KB4Yv1AhWUad4KHS5rAe8QFnoECCAQAg&usg=AOvVaw12FrHkPuktGa_xeT3jqzG1,宮崎 | 毎日新聞
